LOSSDESCRIPTION,ExtraThresold,REPORTABLEAMOUNT,ExcessPaidAmt
Explosion,303737.1583238569,727918.99,41.72678038305566
Burn or scald - heat or cold exposures - contact with,936453.5048267217,5080000.0,18.434124110762237
Abandonment,0.0,5.0,0.0
Animal/insect bite/scratch/sting,0.0,51618.240000000005,0.0
Cancellation,0.0,1091.15,0.0
Collision while turning left,0.0,11851.23,0.0
Collision with motor vehicle,0.0,2100.0,0.0
Crash of water vehicle,0.0,9350.0,0.0
Hail,0.0,50.29,0.0
Malicious mischief and vandalism,0.0,2000.0,0.0
Missed departure,0.0,13347.970000000001,0.0
Theft of entire vehicle,0.0,14800.0,0.0
